Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX18179495,RNA-seq of Rhododendron liliiflorum,Rhododendron liliiflorum,Illumina NovaSeq 6000,Guizhou Normal University,SRP406465,Rhododendron liliiflorum Raw sequence reads,SRS15677870,,2805.75,1,31550120,9465036000,S705,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX16773160,root,Artemisia rupestris,Illumina HiSeq 2500,Xinjiang University,SRP389415,Microbial Metagenomes in Mining Areas,SRS14399520,,6008.78,1,30980239,9294071700,MRR23,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX16773093,RNAseq_PS1_rep1,Malus pumila,HiSeq X Ten,Fujian Agriculture and Forestry University,SRP389410,Transcriptomic Analyses Provide Novel Insights into the Competition for Anthocyanins and Flavonols Biosynthesis during Fruit Ripening in Red Apple,SRS14399453,,5183.97,1,26918997,8075699100,RNAseq_PS1_rep1,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX16052478,RNA-Seq of Berberis leaf,Berberis amurensis,Illumina NovaSeq 6000,National Institute of Biogical Resources,SRP385197,Transcriptome sequencing,SRS13732075,,3018.42,1,25353265,7656686030,Berberis-15-2,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR
SRX15695318,RNA-Seq of Gleditsia microphylla: male buds and flowers,Gleditsia microphylla,Illumina NovaSeq 6000,Yangtze University,SRP380077,Comparative gene expression profiling analysis of RNA-seq data between male and female flowers in Gleditsia microphylla,SRS13391719,,4000.86,1,30462454,9199661108,MPR1,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX15576505,RNA-Seq of Justicia adhatoda,Justicia adhatoda,NextSeq 500,SRM Institute of Science & Technology,SRP378220,Justicia adhatoda cultivar:Malabar nut Raw sequence reads,SRS13279215,,6704.11,1,51639915,14908537122,MP5,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX15416599,RNA-Seq of azalea: twele weeks' seedling roots,Rhododendron yunnanense,Illumina NovaSeq 6000,zhejiang university,SRP376619,Azalea,SRS13140325,,3506.18,1,38365847,11430054892,50Al-1,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX15407309,R18_rep3,Myricaria laxiflora,Illumina HiSeq 4000,Rare Plants Research Institute of Yangtze River,SRP376441,Myricaria laxiflora Transcriptome in root,SRS13134014,,2408.27,1,49753678,7059898258,R18_rep3,RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327159,MBLRC,Camellia fraterna,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055632,,1829.73,1,20088978,6022134512,(16-16),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327158,YLLRC,Camellia handelii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055631,,1865.62,1,20500472,6144233096,(16-11),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327156,MELRC,Camellia forrestii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055633,,1763.11,1,19686854,5900133042,(16-4),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327155,JLRC,Camellia cuspidata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055630,,2001.04,1,22481128,6717302142,(16-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327154,DZTC,Camellia danzaiensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055628,,3073.29,1,34476604,10276267198,(15-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327153,GDTC,Camellia kwangtungensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055627,,1983.75,1,21422367,6385606732,(15-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327152,HKCBC,Camellia hekouensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055629,,2373.62,1,26147750,7818220048,(14-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327149,MCGC,Camellia pubifurfuracea,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055624,,1789.75,1,20436738,6073176996,(4-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327146,XMJHC,Camellia euphlebia,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055622,,2650.6,1,29385356,8788192754,(11-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327145,MZLRC,Camellia pilosperma,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055620,,1931.87,1,21002482,6266978366,(10-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327142,QYHSC,Camellia subintegra,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055616,,2133.06,1,22646221,6764168074,(9-58),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327134,NJHSC,Camellia saluenensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055610,,1940.77,1,21677569,6479835340,(9-31),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327130,XNHSC,Camellia pitardii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055605,,1808.9,1,20280058,6060401150,(9-21),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327118,GZYC,Camellia gauchowensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055594,,1948.61,1,21070175,6289762164,(3-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327117,XLGC,Camellia parvimuricata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055592,,2006.36,1,22391484,6713842046,(8-14),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327112,ALLGC,Camellia anlungensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055587,,1828.75,1,20679942,6171352480,(8-6),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327111,LYLGC,Camellia leyensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055586,,1694.91,1,17946190,5375541904,(8-5),RNA-Seq,TRANSCRIPTOMIC,size fractionation
